Customer ID,Recency,Frequency,Monetary,Last_Order_Date,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,Segment,Churn Risk
CUST-0424,24,18,3908.47,2024-12-08,4,4,4,444,12,Champions,Low Risk
CUST-0390,41,16,2879.98,2024-11-21,4,4,4,444,12,Champions,Low Risk
CUST-0069,16,18,2860.53,2024-12-16,4,4,4,444,12,Champions,Low Risk
CUST-0826,24,16,2701.81,2024-12-08,4,4,4,444,12,Champions,Low Risk
CUST-0659,27,16,2675.58,2024-12-05,4,4,4,444,12,Champions,Low Risk
CUST-0426,44,12,2443.3,2024-11-18,4,4,4,444,12,Champions,Low Risk
CUST-0114,34,12,2396.7000000000003,2024-11-28,4,4,4,444,12,Champions,Low Risk
CUST-0428,7,16,2206.4,2024-12-25,4,4,4,444,12,Champions,Low Risk
CUST-0292,35,12,2084.77,2024-11-27,4,4,4,444,12,Champions,Low Risk
CUST-0190,6,15,2075.23,2024-12-26,4,4,4,444,12,Champions,Low Risk
CUST-0887,25,14,1888.44,2024-12-07,4,4,4,444,12,Champions,Low Risk
CUST-0462,11,12,1868.99,2024-12-21,4,4,4,444,12,Champions,Low Risk
CUST-0240,19,13,1853.18,2024-12-13,4,4,4,444,12,Champions,Low Risk
CUST-0066,5,8,1851.79,2024-12-27,4,4,4,444,12,Champions,Low Risk
CUST-0325,4,10,1834.96,2024-12-28,4,4,4,444,12,Champions,Low Risk
CUST-0126,3,15,1774.53,2024-12-29,4,4,4,444,12,Champions,Low Risk
CUST-0385,6,13,1708.0,2024-12-26,4,4,4,444,12,Champions,Low Risk
CUST-0216,41,7,1684.64,2024-11-21,4,4,4,444,12,Champions,Low Risk
CUST-0286,18,9,1682.34,2024-12-14,4,4,4,444,12,Champions,Low Risk
CUST-0890,24,11,1654.95,2024-12-08,4,4,4,444,12,Champions,Low Risk
CUST-0419,5,7,1638.89,2024-12-27,4,4,4,444,12,Champions,Low Risk
CUST-0139,6,10,1616.13,2024-12-26,4,4,4,444,12,Champions,Low Risk
CUST-0193,11,10,1574.59,2024-12-21,4,4,4,444,12,Champions,Low Risk
CUST-0166,17,9,1573.07,2024-12-15,4,4,4,444,12,Champions,Low Risk
CUST-0371,2,10,1570.42,2024-12-30,4,4,4,444,12,Champions,Low Risk
CUST-0536,41,8,1547.25,2024-11-21,4,4,4,444,12,Champions,Low Risk
CUST-0881,30,14,1544.85,2024-12-02,4,4,4,444,12,Champions,Low Risk
CUST-0305,21,14,1540.72,2024-12-11,4,4,4,444,12,Champions,Low Risk
CUST-0178,24,8,1488.4,2024-12-08,4,4,4,444,12,Champions,Low Risk
CUST-0210,16,11,1487.05,2024-12-16,4,4,4,444,12,Champions,Low Risk
CUST-0142,33,9,1486.09,2024-11-29,4,4,4,444,12,Champions,Low Risk
CUST-0875,25,8,1481.73,2024-12-07,4,4,4,444,12,Champions,Low Risk
CUST-0229,17,7,1470.68,2024-12-15,4,4,4,444,12,Champions,Low Risk
CUST-0447,1,9,1383.68,2024-12-31,4,4,4,444,12,Champions,Low Risk
CUST-0153,1,11,1381.08,2024-12-31,4,4,4,444,12,Champions,Low Risk
CUST-0712,2,6,1373.64,2024-12-30,4,4,4,444,12,Champions,Low Risk
CUST-0149,36,9,1368.85,2024-11-26,4,4,4,444,12,Champions,Low Risk
CUST-0640,46,13,1327.7,2024-11-16,4,4,4,444,12,Champions,Low Risk
CUST-0521,40,8,1314.91,2024-11-22,4,4,4,444,12,Champions,Low Risk
CUST-0266,15,9,1307.51,2024-12-17,4,4,4,444,12,Champions,Low Risk
CUST-0226,2,7,1289.72,2024-12-30,4,4,4,444,12,Champions,Low Risk
CUST-0568,2,8,1286.49,2024-12-30,4,4,4,444,12,Champions,Low Risk
CUST-0846,33,7,1271.95,2024-11-29,4,4,4,444,12,Champions,Low Risk
CUST-0592,4,9,1266.13,2024-12-28,4,4,4,444,12,Champions,Low Risk
CUST-0213,7,9,1233.85,2024-12-25,4,4,4,444,12,Champions,Low Risk
CUST-0169,1,7,1208.51,2024-12-31,4,4,4,444,12,Champions,Low Risk
CUST-0196,24,8,1181.42,2024-12-08,4,4,4,444,12,Champions,Low Risk
CUST-0241,10,7,1179.56,2024-12-22,4,4,4,444,12,Champions,Low Risk
CUST-0551,13,8,1167.79,2024-12-19,4,4,4,444,12,Champions,Low Risk
CUST-0682,22,9,1137.57,2024-12-10,4,4,4,444,12,Champions,Low Risk
CUST-0794,41,6,1123.22,2024-11-21,4,4,4,444,12,Champions,Low Risk
CUST-0249,13,8,1121.04,2024-12-19,4,4,4,444,12,Champions,Low Risk
CUST-0498,10,8,1075.88,2024-12-22,4,4,4,444,12,Champions,Low Risk
CUST-0098,39,8,1061.13,2024-11-23,4,4,4,444,12,Champions,Low Risk
CUST-0725,23,8,1059.92,2024-12-09,4,4,4,444,12,Champions,Low Risk
CUST-0809,38,11,1037.06,2024-11-24,4,4,4,444,12,Champions,Low Risk
CUST-0262,17,8,1035.3,2024-12-15,4,4,4,444,12,Champions,Low Risk
CUST-0635,16,6,1019.96,2024-12-16,4,4,4,444,12,Champions,Low Risk
CUST-0345,39,7,1015.54,2024-11-23,4,4,4,444,12,Champions,Low Risk
CUST-0534,24,6,1002.57,2024-12-08,4,4,4,444,12,Champions,Low Risk
CUST-0010,27,7,985.7,2024-12-05,4,4,4,444,12,Champions,Low Risk
CUST-0784,37,7,983.46,2024-11-25,4,4,4,444,12,Champions,Low Risk
CUST-0220,22,10,982.42,2024-12-10,4,4,4,444,12,Champions,Low Risk
