Customer ID,Order ID,Order Date,Sales Amount,Category,Region
CUST-0666,ORD-2025378,2023-01-01,246.6,Electronics,West
CUST-0586,ORD-2024198,2023-01-01,84.85,Beauty,Central
CUST-0158,ORD-2025784,2023-01-01,46.27,Beauty,West
CUST-0491,ORD-2025675,2023-01-01,135.26,Home & Living,North
CUST-0640,ORD-2024056,2023-01-01,82.98,Sports,South
CUST-0793,ORD-2024095,2023-01-01,63.75,Fashion,West
CUST-0126,ORD-2023524,2023-01-02,95.68,Electronics,North
CUST-0839,ORD-2023279,2023-01-02,28.96,Groceries,West
CUST-0731,ORD-2023823,2023-01-02,83.41,Beauty,Central
CUST-0757,ORD-2025530,2023-01-02,106.7,Sports,Central
CUST-0192,ORD-2023002,2023-01-02,295.77,Electronics,West
CUST-0057,ORD-2026205,2023-01-02,232.94,Home & Living,West
CUST-0870,ORD-2026590,2023-01-03,110.67,Fashion,South
CUST-0847,ORD-2024255,2023-01-03,381.11,Electronics,North
CUST-0712,ORD-2024492,2023-01-03,151.39,Sports,East
CUST-0741,ORD-2025073,2023-01-03,98.56,Sports,South
CUST-0351,ORD-2026189,2023-01-04,91.2,Fashion,West
CUST-0674,ORD-2023824,2023-01-04,110.95,Sports,North
CUST-0438,ORD-2023761,2023-01-04,360.79,Electronics,North
CUST-0753,ORD-2023898,2023-01-05,167.43,Sports,West
CUST-0177,ORD-2026393,2023-01-05,72.63,Beauty,West
CUST-0757,ORD-2024965,2023-01-05,250.69,Electronics,West
CUST-0810,ORD-2023286,2023-01-05,106.56,Sports,North
CUST-0200,ORD-2023753,2023-01-05,114.24,Fashion,North
CUST-0133,ORD-2026516,2023-01-06,37.91,Groceries,West
CUST-0136,ORD-2025865,2023-01-06,272.06,Home & Living,East
CUST-0784,ORD-2024322,2023-01-06,181.24,Fashion,East
CUST-0826,ORD-2024304,2023-01-06,121.57,Home & Living,West
CUST-0326,ORD-2024762,2023-01-06,116.73,Beauty,West
CUST-0669,ORD-2023975,2023-01-06,145.84,Electronics,West
CUST-0208,ORD-2023832,2023-01-07,261.05,Home & Living,West
CUST-0679,ORD-2025351,2023-01-07,55.67,Beauty,South
CUST-0193,ORD-2024929,2023-01-07,196.29,Electronics,North
CUST-0444,ORD-2025259,2023-01-08,278.39,Fashion,North
CUST-0153,ORD-2024089,2023-01-08,174.82,Home & Living,North
CUST-0241,ORD-2024428,2023-01-08,43.86,Fashion,West
CUST-0828,ORD-2025330,2023-01-08,154.07,Fashion,South
CUST-0550,ORD-2026171,2023-01-08,156.93,Electronics,South
CUST-0159,ORD-2026424,2023-01-09,217.77,Electronics,Central
CUST-0845,ORD-2025462,2023-01-09,42.25,Groceries,Central
